stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:44:42107:0:1","Wels Hauptbahnhof","48.1659228015439","14.0270584161863",""
"at:44:42107:0:11","Wels Hauptbahnhof","48.1654195093001","14.0256031454258",""
"at:44:42107:0:12","Wels Hauptbahnhof","48.1653296351654","14.02564806119",""
"at:44:42107:0:2","Wels Hauptbahnhof","48.1660126746392","14.0269955341164",""
"at:44:42107:0:3","Wels Hauptbahnhof","48.1660426323026","14.0269685846579",""
"at:44:42107:0:4","Wels Hauptbahnhof","48.1661145306235","14.0269326520465",""
"at:44:42107:0:5","Wels Hauptbahnhof","48.1661624627814","14.0269146857408",""
"at:44:42107:0:6","Wels Hauptbahnhof","48.1662403524424","14.0268428205181",""
"at:44:42107:0:7","Wels Hauptbahnhof","48.1662942759846","14.0267979047539",""
"at:44:42107:0:8","Wels Hauptbahnhof","48.1661624627814","14.0263397639589",""
"at:44:42146:0:1","Wels Lokalbahn Bahnhof","48.156569147137","14.0174194931863",""
"at:44:42146:0:11","Wels Lokalbahn Bahnhof","48.1567189628565","14.0178147519114",""
"at:44:42268:0:1","Wels Messe BHF","48.1524820055619","14.0196293487856",""
"at:44:42300:0:1","Marchtrenk Bahnhof","48.2010990746546","14.0994626280964",""
"at:44:42300:0:2","Marchtrenk Bahnhof","48.2009374136655","14.0995704259305",""
"at:44:42300:0:31","Marchtrenk Bahnhof","48.2012248106267","14.0992290661225",""
"at:44:42390:0:1","Kremsmünster Bahnhof","48.053001926708","14.1401293610142",""
"at:44:42390:0:2","Kremsmünster Bahnhof","48.0529598936197","14.1401563104727",""
"at:44:42390:0:21","Kremsmünster Bahnhof","48.0534102463517","14.1407941143245",""
"at:44:42390:0:22","Kremsmünster Bahnhof","48.0532841479838","14.1405066534335",""
"at:44:42410:0:1","Schauersberg Bahnhst","48.1357944610858","14.0086968517763",""
"at:44:42410:0:11","Schauersberg Bahnhst","48.1356985399781","14.0084812561081",""
"at:44:42410:0:12","Schauersberg Bahnhst","48.1357884660218","14.0085171887195",""
"at:44:42411:0:1","Steinhaus b.Wels Bahnhst","48.1192873982022","14.0177967856057",""
"at:44:42411:0:11","Steinhaus b.Wels Bahnhst","48.1190055388618","14.0179045834398",""
"at:44:42411:0:2","Steinhaus b.Wels Bahnhst","48.1193173831474","14.0179045834398",""
"at:44:42412:0:1","Oberhart b.Steinhaus Bahnhst","48.1040107919465","14.0392575377463",""
"at:44:42412:0:21","Oberhart b.Steinhaus Bahnhst","48.1028650133701","14.0394551671089",""
"at:44:42412:0:22","Oberhart b.Steinhaus Bahnhst","48.1025410713405","14.039733644847",""
"at:44:42430:0:1","Unterhart b.Sattledt Bahnhst","48.0890836757399","14.0426352032151",""
"at:44:42430:0:21","Unterhart b.Sattledt Bahnhst","48.0893476977537","14.0431741923856",""
"at:44:42430:0:22","Unterhart b.Sattledt Bahnhst","48.0896837238109","14.043210124997",""
"at:44:42431:0:1","Sattledt Bahnhof","48.0740681939864","14.0579335125058",""
"at:44:42431:0:2","Sattledt Bahnhof","48.0741282166262","14.0579604619643",""
"at:44:42431:0:21","Sattledt Bahnhof","48.0740141735507","14.0575562200864",""
"at:44:42451:0:1","Großendorf Bahnhst","48.0387207121021","14.0557146737537",""
"at:44:42452:0:1","Wiesmühle b.Sattledt BHF","48.0220202429835","14.0437940299318",""
"at:44:42453:0:1","Voitsdorf Bahnhst","48.0122798096172","14.0470728807193",""
"at:44:42453:0:2","Voitsdorf Bahnhst","48.012291828559","14.047027964955",""
"at:44:42461:0:1","Großendorf Ort","48.0379759144062","14.0578975798944",""
"at:44:42461:0:2","Großendorf Ort","48.0366905124119","14.0579065630473",""
"at:44:42607:0:1","Steyregg Gewerbegebiet","48.2832107067963","14.3636661363456",""
"at:44:42607:0:2","Steyregg Gewerbegebiet","48.2834019970328","14.362956467271",""
"at:44:42750:0:1","Gunskirchen Bahnhof","48.1326889242114","13.9459495291719",""
"at:44:42750:0:2","Gunskirchen Bahnhof","48.1324191293222","13.945940546019",""
"at:44:42790:0:2","Lambach OÖ Bahnhof","48.094033862946","13.8884214183688",""
"at:44:42790:0:21","Lambach OÖ Bahnhof","48.0936858653575","13.8885202330501",""
"at:44:42790:0:22","Lambach OÖ Bahnhof","48.0938478645279","13.8889963401507",""
"at:44:42790:0:3","Lambach OÖ Bahnhof","48.0940578626929","13.8883585362989",""
"at:44:42791:0:1","Lambach OÖ Markt BHF","48.0943098593587","13.8702574833214",""
"at:44:42844:0:1","Lambach OÖ Albert-Binna-Straße","48.0914178233818","13.8690986566047",""
"at:44:42844:0:2","Lambach OÖ Albert-Binna-Straße","48.0913698214125","13.8694220501071",""
"at:44:42850:0:1","Neukirchen b.Lambach Bahnhst","48.0950898412116","13.8325102750774",""
"at:44:42850:0:2","Neukirchen b.Lambach Bahnhst","48.0952038375683","13.8325192582303",""
"at:44:42940:0:2","Haiding Bahnhof","48.2095586211212","13.9750010454643",""
"at:44:42940:0:3","Haiding Bahnhof","48.2095466482283","13.9749651128529",""
"at:44:43005:0:1","Steyr","48.0386005841697","14.4234310522064",""
"at:44:43005:0:2","Steyr","48.0385345136875","14.423565799499",""
"at:44:43005:0:20","Steyr Bahnhof","48.0387147057121","14.4231435913154",""
"at:44:43005:0:3","Steyr","48.0385164944504","14.4235927489575",""
"at:44:43133:0:1","Steyr-Münichholz","48.0480658066455","14.4494103302267",""
"at:44:43450:0:1","Rohr-Bad Hall Bahnhof","48.0694162264226","14.1912075680763",""
"at:44:43450:0:2","Rohr-Bad Hall Bahnhof","48.0695062684954","14.191108753395",""
"at:44:43450:0:21","Rohr-Bad Hall Bahnhof","48.0691881191329","14.1909650229496",""
"at:44:43500:0:1","Kirchdorf/Krems Bahnhof","47.9065973264404","14.1163689217459",""
"at:44:43500:0:2","Kirchdorf/Krems Bahnhof","47.9065792611054","14.116189258689",""
"at:44:43500:0:21","Kirchdorf/Krems Bahnhof","47.9063805420046","14.1166653657897",""
"at:44:43500:0:22","Kirchdorf/Krems Bahnhof","47.9063263457537","14.1166833320954",""
"at:44:43500:0:3","Kirchdorf/Krems Bahnhof","47.9065792611054","14.116135359772",""
"at:44:43510:0:1","Micheldorf in OÖ Bahnhof","47.8833902180984","14.1262054741084",""
"at:44:43510:0:2","Micheldorf in OÖ Bahnhof","47.8833841936212","14.1261785246498",""
"at:44:43510:0:21","Micheldorf in OÖ Bahnhof","47.8833179243267","14.1263851371652",""
"at:44:43520:0:1","Schlierbach/Krems Bahnhof","47.9368659671196","14.1112575077785",""
"at:44:43520:0:2","Schlierbach/Krems Bahnhof","47.9368780036279","14.1112036088615",""
"at:44:43521:0:1","Schlierbach/Krems Abzw Bahnhof","47.9365951449406","14.1171235065847",""
"at:44:43521:0:2","Schlierbach/Krems Abzw Bahnhof","47.9369321678809","14.1175906305325",""
"at:44:43530:0:1","Nußbach BHF","47.9720006303541","14.1233128988931",""
"at:44:43530:0:2","Nußbach BHF","47.971976573692","14.1231512021419",""
"at:44:43540:0:1","Wartberg/Krems Bahnhof","47.9893966761168","14.1213994873377",""
"at:44:43540:0:2","Wartberg/Krems Bahnhof","47.9894087003911","14.1214264367962",""
"at:44:43540:0:21","Wartberg/Krems Bahnhof","47.988957788188","14.121264740045",""
"at:44:43585:0:1","Klaus/Pyhrnbahn Ortsmitte","47.8314392265732","14.1568739579125",""
"at:44:43585:0:2","Klaus/Pyhrnbahn Ortsmitte","47.8308542632025","14.1569727725937",""
"at:44:43589:0:1","Klaus/Pyhrnbahn Bahnhof","47.8331458346029","14.1551671588724",""
"at:44:43589:0:21","Klaus/Pyhrnbahn Bahnhof","47.8326634069279","14.1554097039992",""
"at:44:43615:0:1","Steyrling BHF","47.8017425029038","14.1636382720028",""
"at:44:43615:0:2","Steyrling BHF","47.8017364689371","14.1637011540727",""
"at:44:43616:0:1","Steyrling Abzw Bahnhof","47.8011391027664","14.1622189338537",""
"at:44:43616:0:2","Steyrling Abzw Bahnhof","47.8012899534578","14.1624075800634",""
"at:44:43620:0:1","Hinterstoder Bahnhof","47.7746368921486","14.1789545475992",""
"at:44:43620:0:2","Hinterstoder Bahnhof","47.7746851890381","14.1789814970577",""
"at:44:43620:0:21","Hinterstoder Bahnhof","47.7742807012032","14.1789904802106",""
"at:44:43640:0:1","Roßleithen Bahnhst","47.7243777999446","14.308850937701",""
"at:44:43640:0:21","Roßleithen Bahnhst","47.7235438666121","14.3095606067755",""
"at:44:43640:0:22","Roßleithen Bahnhst","47.724577216807","14.3079526224167",""
"at:44:43649:0:1","Windischgarsten Bahnhof","47.7153790750273","14.3268172433859",""
"at:44:43649:0:21","Windischgarsten Bahnhof","47.7157598450466","14.3272214852638",""
"at:44:43649:0:22","Windischgarsten Bahnhof","47.7159592948987","14.3274280977791",""
"at:44:43660:0:1","Spital am Pyhrn Bahnhof","47.6731084039611","14.3475144275349",""
"at:44:43660:0:2","Spital am Pyhrn Bahnhof","47.6731144528528","14.3475952759104",""
"at:44:43660:0:21","Spital am Pyhrn Bahnhof","47.6729087901416","14.3472988318666",""
"at:44:43662:0:2","Spital am Pyhrn Abzw Bahnhof","47.6701988057746","14.3476132422161",""
"at:44:43790:0:1","Steinbachbrücke BHF","47.9323280038098","13.9931200647475",""
"at:44:43796:0:1","Steinbachbrücke Abzw Bahnhst","47.9313288761673","13.9945573692023",""
"at:44:43796:0:2","Steinbachbrücke Abzw Bahnhst","47.9314492540144","13.9947280491063",""
"at:44:43835:0:1","Pettenbach OÖ Bahnhst","47.9621424745618","14.0116163764501",""
"at:44:43835:0:2","Pettenbach OÖ Bahnhst","47.9622026276481","14.0115894269916",""
"at:44:43835:0:21","Pettenbach OÖ Bahnhst","47.9620041221972","14.0134758890885",""
"at:44:43839:0:1","Diensthubersiedlung BHF","47.9679950417095","14.0219559853718",""
"at:44:43860:0:1","Wilfling BHF","47.9806302347047","14.0290526761173",""
"at:44:43863:0:21","Voitsdorf Bahnhst (Landesstraße)","48.0117028971169","14.0479262802393",""
"at:44:43863:0:22","Voitsdorf Bahnhst (Landesstraße)","48.011522610637","14.0483574715757",""
"at:44:43900:0:1","Garsten Bahnhof","48.0238106961328","14.4082495239026",""
"at:44:43900:0:2","Garsten Bahnhof","48.0237926717465","14.4082764733612",""
"at:44:43900:0:21","Garsten Bahnhof","48.0239428747727","14.4082405407498",""
"at:44:43900:0:3","Garsten Bahnhof","48.0237566229551","14.4083034228197",""
"at:44:43934:0:1","Lahrndorf b.Garsten Bahnhof","47.9947772589779","14.373736250682",""
"at:44:43934:0:2","Lahrndorf b.Garsten Bahnhof","47.9948734430644","14.3737093012234",""
"at:44:43934:0:21","Lahrndorf b.Garsten Bahnhof","47.9941821159559","14.3723348788385",""
"at:44:43940:0:1","Dürnbach/Enns Bahnhst","47.978357210556","14.3538744997473",""
"at:44:43940:0:21","Dürnbach/Enns Bahnhst","47.9783632239794","14.3540272133456",""
"at:44:43941:0:1","Ternberg","47.9491718335846","14.3550243433111",""
"at:44:43941:0:2","Ternberg","47.9491838672279","14.3548895960185",""
"at:44:43941:0:21","Ternberg Bahnhof","47.9491898840485","14.3552668884379",""
"at:44:43941:0:22","Ternberg Bahnhof","47.9492079345061","14.355374686272",""
"at:44:43950:0:1","Trattenbach/Enns Bahnhst","47.9302033297377","14.3548087476429",""
"at:44:43950:0:21","Trattenbach/Enns Bahnhst","47.930064891854","14.3547638318787",""
"at:44:43960:0:1","Losenstein","47.9240515148549","14.4311385973452",""
"at:44:43960:0:2","Losenstein","47.9240153963644","14.4310846984281",""
"at:44:43962:0:1","Losenstein Kirche","47.9259657587627","14.432117761005",""
"at:44:43962:0:2","Losenstein Kirche","47.9260078954104","14.4321986093806",""
"at:44:43981:0:1","Reichraming Bahnhof","47.8914623879311","14.4728204265341",""
"at:44:43981:0:2","Reichraming Bahnhof","47.891426246691","14.472829409687",""
"at:44:44000:0:1","Puchenau BHF","48.3116273849783","14.2383242047349",""
"at:44:44001:0:1","Puchenau West Bahnhst","48.3124817319985","14.2224240242038",""
"at:44:44001:0:2","Puchenau West Bahnhst","48.3125593992001","14.2224240242038",""
"at:44:44001:0:21","Puchenau West Bahnhst","48.3124219879168","14.2248854080826",""
"at:44:44001:0:22","Puchenau West Bahnhst","48.312601219952","14.2225318220379",""
"at:44:44002:0:1","Dürnberg b.Ottensheim Bahnhof","48.3314947186096","14.1922855464174",""
"at:44:44002:0:2","Dürnberg b.Ottensheim Bahnhof","48.330873608293","14.1935342046625",""
"at:44:44003:0:1","Ottensheim Bahnhof","48.3378367774326","14.1769063887511",""
"at:44:44003:0:2","Ottensheim Bahnhof","48.3379024631797","14.1769063887511",""
"at:44:44003:0:21","Ottensheim Bahnhof","48.3377054056847","14.1757026462702",""
"at:44:44003:0:22","Ottensheim Bahnhof","48.3375680621317","14.1754511179907",""
"at:44:44004:0:1","Puchenau Ost","48.3121830108905","14.2410191505877",""
"at:44:44004:0:2","Puchenau Ost","48.3118245432526","14.2401657510676",""
"at:44:44009:0:1","Achleitnersiedlung Bahnhst","48.3213768451123","14.2060028208078",""
"at:44:44009:0:21","Achleitnersiedlung Bahnhst","48.3223684137522","14.2047272131042",""
"at:44:44009:0:22","Achleitnersiedlung Bahnhst","48.3215381256615","14.2057602756811",""
"at:44:44020:0:1","Walding b.Linz Bahnhst","48.3484110926578","14.1537208712648",""
"at:44:44020:0:21","Walding b.Linz Bahnhst","48.3484528840177","14.1525171287839",""
"at:44:44020:0:22","Walding b.Linz Bahnhst","48.3483334800415","14.1524362804083",""
"at:44:44040:0:1","Rottenegg Bahnhof","48.3603142744894","14.1374433983143",""
"at:44:44040:0:2","Rottenegg Bahnhof","48.3603679936802","14.1375062803842",""
"at:44:44040:0:21","Rottenegg Bahnhof","48.360171023037","14.1371200048119",""
"at:44:44040:0:22","Rottenegg Bahnhof","48.3596696397811","14.1375781456069",""
"at:44:44040:0:3","Rottenegg Bahnhof","48.3604097752339","14.1376050950654",""
"at:44:44050:0:1","Lacken im Mühlkreis Bahnhst","48.3858841711259","14.0913508410797",""
"at:44:44050:0:21","Lacken im Mühlkreis Bahnhst","48.3858483762806","14.0917371166519",""
"at:44:44050:0:22","Lacken im Mühlkreis Bahnhst","48.3854844605906","14.0917011840405",""
"at:44:44052:0:1","Gerling OÖ Bahnhst","48.3973670509804","14.077076611213",""
"at:44:44052:0:21","Gerling OÖ Bahnhst","48.3969614661289","14.0765735546539",""
"at:44:44052:0:22","Gerling OÖ Bahnhst","48.3967765660794","14.0764837231254",""
"at:44:44349:0:1","Katsdorf Neubodendorf Nord","48.3150028684842","14.4874899151258",""
"at:44:44349:0:2","Katsdorf Neubodendorf Nord","48.3150028684842","14.4877773760168",""
"at:44:44350:0:1","Steyregg Bahnhof","48.2844899466291","14.3621120509038",""
"at:44:44350:0:2","Steyregg Bahnhof","48.2844361474684","14.3621120509038",""
