origin_stop_id,reachable_stop_id,walking_time
at:47:2181:0,at:47:65942:0,0 days 00:03:02.169057600
at:47:2181:0,at:47:65955:0,0 days 00:03:50.827492800
at:47:2184:0,at:47:61712:0,0 days 00:03:12.648909600
at:47:2184:0,at:47:62437:0,0 days 00:03:25.481192400
at:47:2184:0,at:47:62550:0,0 days 00:04:23.882700
at:47:2184:0,at:47:62558:0,0 days 00:04:11.413171200
at:47:2184:0,at:47:65694:0,0 days 00:04:18.751954800
at:47:2184:0,at:47:66036:0,0 days 00:04:33.398212800
at:47:2184:0,at:47:66039:0,0 days 00:03:33.673654800
at:47:2202:0,at:47:64383:0,0 days 00:04:19.940167199
at:47:2202:0,at:47:64384:0,0 days 00:02:41.222659200
at:47:2204:0,at:47:64470:0,0 days 00:02:38.592272400
at:47:2205:0,at:47:68464:0,0 days 00:01:05.828127600
at:47:2206:0,at:47:64472:0,0 days 00:04:58.144962
at:47:2206:0,at:47:64513:0,0 days 00:04:37.287663600
at:47:2206:0,at:47:66451:0,0 days 00:03:42.631498800
at:47:2207:0,at:47:64474:0,0 days 00:03:26.541284400
at:47:2213:0,at:47:64549:0,0 days 00:02:23.924061600
at:47:2214:0,at:47:61747:0,0 days 00:03:48.066321599
at:47:2214:0,at:47:61774:0,0 days 00:04:09.436033200
at:47:2214:0,at:47:64484:0,0 days 00:01:26.541800400
at:47:2214:0,at:47:64500:0,0 days 00:04:13.863572400
at:47:2214:0,at:47:68310:0,0 days 00:03:31.158410400
at:47:2216:0,at:47:62566:0,0 days 00:02:21.033308400
at:47:2216:0,at:47:64485:0,0 days 00:04:30.651956400
at:47:2217:0,at:47:61792:0,0 days 00:02:19.553244
at:47:2217:0,at:47:64487:0,0 days 00:02:22.145971200
at:47:2217:0,at:47:64547:0,0 days 00:03:27.689918400
at:47:2217:0,at:47:68092:0,0 days 00:04:54.737029200
at:47:2218:0,at:47:64496:0,0 days 00:02:38.990972400
at:47:2223:0,at:47:61501:0,0 days 00:04:26.549212800
at:47:2227:0,at:47:64048:0,0 days 00:02:56.041983600
at:47:2228:0,at:47:68506:0,0 days 00:04:09.567422400
at:47:2228:0,at:47:68516:0,0 days 00:03:10.994248800
at:47:2228:0,at:47:68517:0,0 days 00:02:08.998486800
at:47:2228:0,at:47:68524:0,0 days 00:04:11.050057199
at:47:2228:0,at:47:68525:0,0 days 00:03:03.862800
at:47:2228:0,at:47:68527:0,0 days 00:03:23.427939600
at:47:2244:0,at:47:61226:0,0 days 00:03:59.871675600
at:47:2244:0,at:47:61244:0,0 days 00:04:35.242046400
at:47:2244:0,at:47:65270:0,0 days 00:02:50.047926
at:47:2251:0,at:47:61195:0,0 days 00:03:21.284712
at:47:2251:0,at:47:61196:0,0 days 00:04:16.619232
at:47:2251:0,at:47:62418:0,0 days 00:04:48.028018800
at:47:2251:0,at:47:68237:0,0 days 00:03:39.330979200
at:47:2263:0,at:47:64957:0,0 days 00:02:20.921172
at:47:2264:0,at:47:64288:0,0 days 00:02:32.509075200
at:47:294:0,at:47:68490:0,0 days 00:04:40.099162800
at:47:3873:0,at:47:66323:0,0 days 00:04:35.078030400
at:47:3873:0,at:47:68272:0,0 days 00:02:44.944882800
at:47:3873:0,at:47:68273:0,0 days 00:04:21.596023200
at:47:3873:0,at:47:68276:0,0 days 00:04:24.773329199
at:47:3878:0,at:47:66234:0,0 days 00:02:50.670211200
at:47:3879:0,at:47:66474:0,0 days 00:02:25.346558400
at:47:50000:0,at:47:50001:0,0 days 00:04:01.026962400
at:47:50000:0,at:47:62211:0,0 days 00:04:51.844782
at:47:50000:0,at:47:64328:0,0 days 00:02:46.504086
at:47:50001:0,at:47:50000:0,0 days 00:04:01.026962400
at:47:50001:0,at:47:50004:0,0 days 00:04:59.316474
at:47:50001:0,at:47:50005:0,0 days 00:04:28.657376400
at:47:50002:0,at:47:50003:0,0 days 00:02:18.566786400
at:47:50002:0,at:47:50004:0,0 days 00:03:22.828381200
